253346,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,"b'+++ This bug was initially created as a clone of Bug #251715 +++\n\nProjects must have stated and demonstrated their intent to join Galileo by the M4+0 date.  Projects do so by adding themselves to this bug and each of the P1 bugs used to define ""Must-Do"" requirements for train participation.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253371,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252789 +++\n\nAt least one person from each project must subscribe to cross-project bug inbox," i.e. edit Bugzilla prefs to watch ""cross-project.inbox@eclipse.org"". Build team members (or their designated alternates) from each project will provide communication channels: phone", mail, IM, IRC and will be available during the milestone integration periods.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253396,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252790 +++\n\nProjects must have an project plan in XML format.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253423,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252791 +++\n\nProject representatives must attend the planning meetings and conference calls - you have to be involved to be involved.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253448,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252792 +++\n\nProjects must have a written ramp down policy by M6+0, linked in the table above pending inclusion of ramp down element in the XML project plan. (One of the issues identified with this guideline is that its not so much the ramp down policy of how many votes are needed for each bug fix that we need to be consistent on, but rather the meaning of each of the milestones and release candidates. See Platform 3.4 Endgame plan as a guideline. See also Galileo Final Daze.)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253472,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252793 +++\n\nProjects must have their IP approved (a normal Eclipse requirement) and will follow the Eclipse Legal deadlines to do so. See also bug 220977.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253520,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252795 +++\n\nProjects must use Eclipse message bundles unless there are technical reasons not to. (see Message Bundle Conversion Tool and [1])',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253546,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252796 +++\n\nProjects must use 4-part version numbers.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253572,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,"b""+++ This bug was initially created as a clone of Bug #252797 +++\n\nAll plug-ins (bundles) must use the true bundle form. That is", provide a manifest.mf file, and not rely on the plugin.xml file being 'translated' into a manifest.mf file at initial startup. See bug 130598. With that," empty plugin.xml files in the presence of a manifest.mf file should not be included in a bundle.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253598,Subversive,Core ,Alexander Gurov,RESOLVED,FIXED,b'+++ This bug was initially created as a clone of Bug #252798 +++\n\nAll plug-ins must correctly list their required JVM versions in the manifest.mf. See the wiki page about selecting the correct JVM.',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
